ID,Player,Seasons_played,Pos_PG_1_3,Pos_SG_1_3,Pos_SF_1_3,Pos_PF_1_3,Pos_C_1_3,G_1_3,GS_1_3,MP_1_3,FG_1_3,FGA_1_3,FG%_1_3,3P_1_3,3PA_1_3,3P%_1_3,2P_1_3,2PA_1_3,2P%_1_3,eFG%_1_3,FT_1_3,FTA_1_3,FT%_1_3,ORB_1_3,DRB_1_3,TRB_1_3,AST_1_3,STL_1_3,BLK_1_3,TOV_1_3,PF_1_3,PTS_1_3,PER_1_3,TS%_1_3,3PAr_1_3,FTr_1_3,ORB%_1_3,DRB%_1_3,TRB%_1_3,AST%_1_3,STL%_1_3,BLK%_1_3,TOV%_1_3,USG%_1_3,OWS_1_3,DWS_1_3,WS_1_3,WS/48_1_3,OBPM_1_3,DBPM_1_3,BPM_1_3,VORP_1_3,Trp-Dbl_1_3,MVP_1_3,NBA1_1_3,NBA2_1_3,NBA3_1_3,AS_1_3,MIP_1_3,ROY_1_3,MVP_Top5_1_3,Player_class
4,Mahmoud Abdul-Rauf,8,1,0,0,0,0,76.333,37.0,25.0,6.133,14.3,0.428,0.567,1.7,0.308,5.633,12.6,0.443,0.447,1.733,1.9,0.887,0.467,1.5,2.0,3.233,0.767,0.067,1.767,2.0,14.533,13.467,0.477,0.117,0.13,0.018,0.065,0.041,0.203,0.015,0.002,0.107,0.265,0.7,0.9,1.567,0.026,-0.767,-2.0,-2.733,-0.067,0.0,0,0,0,0,0,1,0,0,bench
6,Shareef Abdur-Rahim,11,0,0,1,0,0,70.667,67.667,37.133,7.533,16.5,0.457,0.2,0.533,0.326,7.333,15.9,0.461,0.462,6.1,7.7,0.79,2.6,4.567,7.167,2.733,1.167,1.0,3.2,2.567,21.333,19.733,0.537,0.033,0.465,0.081,0.145,0.112,0.144,0.016,0.02,0.139,0.283,3.9,0.9,4.8,0.09,2.2,-1.6,0.6,1.633,1.0,0,0,0,0,0,0,0,0,starter
23,Michael Adams,8,1,0,0,0,0,74.0,50.667,30.267,4.567,10.533,0.43,1.433,4.1,0.333,3.133,6.433,0.483,0.492,2.633,3.167,0.833,0.667,2.1,2.8,5.467,1.833,0.133,1.8,1.667,13.2,15.8,0.544,0.367,0.298,0.023,0.075,0.048,0.235,0.029,0.003,0.134,0.174,3.667,2.533,6.167,0.124,1.4,0.767,2.2,2.5,0.0,0,0,0,0,0,0,0,0,starter
24,Steven Adams,11,0,0,0,0,1,77.0,55.667,21.767,2.5,4.433,0.553,0.0,0.0,0.0,2.5,4.433,0.554,0.553,1.3,2.367,0.555,2.433,3.6,6.1,0.733,0.5,1.0,1.133,2.833,6.333,13.6,0.57,0.002,0.57,0.129,0.175,0.153,0.049,0.013,0.037,0.178,0.129,2.333,2.133,4.5,0.127,-1.533,0.433,-1.1,0.433,0.0,0,0,0,0,0,0,0,0,starter
26,Bam Adebayo,8,0,0,0,0,1,74.333,39.667,25.567,4.0,7.267,0.548,0.0,0.167,0.114,4.0,7.1,0.558,0.55,2.533,3.567,0.716,2.033,5.633,7.667,2.933,0.833,0.9,1.767,2.333,10.567,17.967,0.597,0.023,0.492,0.091,0.235,0.164,0.165,0.016,0.031,0.161,0.176,3.433,3.067,6.5,0.162,-0.033,1.633,1.6,1.9,3.0,0,0,0,0,1,0,0,0,all-star
30,Arron Afflalo,11,0,1,0,0,0,77.0,30.667,18.9,2.133,4.8,0.438,0.667,1.667,0.348,1.467,3.1,0.468,0.499,0.867,1.133,0.778,0.533,1.7,2.233,1.0,0.467,0.233,0.667,1.9,5.8,10.0,0.539,0.327,0.255,0.034,0.108,0.071,0.076,0.014,0.008,0.11,0.146,1.367,1.267,2.667,0.084,-1.867,0.333,-1.5,0.267,0.0,0,0,0,0,0,0,0,0,starter
33,Mark Aguirre,13,0,0,1,0,0,70.333,58.0,33.3,9.567,19.333,0.491,0.3,1.0,0.277,9.267,18.333,0.501,0.499,4.833,6.667,0.719,2.033,3.633,5.7,3.933,0.9,0.333,3.133,3.033,24.2,20.433,0.54,0.056,0.341,0.068,0.126,0.096,0.193,0.013,0.006,0.125,0.311,4.633,1.267,5.933,0.109,3.633,-1.567,2.033,2.567,1.0,0,0,0,0,1,0,0,0,all-star
35,Danny Ainge,14,0,1,0,0,0,68.0,26.667,17.5,2.767,6.1,0.438,0.1,0.333,0.246,2.7,5.733,0.448,0.445,0.867,1.067,0.808,0.633,1.133,1.8,2.333,0.9,0.1,1.067,2.267,6.467,11.233,0.485,0.059,0.195,0.041,0.07,0.056,0.181,0.024,0.002,0.148,0.181,1.0,1.5,2.5,0.08,-2.3,0.867,-1.433,0.367,0.0,0,0,0,0,0,0,0,0,starter
47,LaMarcus Aldridge,16,0,0,0,1,0,73.333,59.667,31.367,6.2,12.733,0.49,0.033,0.133,0.131,6.167,12.6,0.493,0.491,2.5,3.267,0.755,2.7,4.0,6.7,1.3,0.667,1.133,1.3,2.933,14.967,18.233,0.528,0.011,0.255,0.106,0.156,0.131,0.071,0.011,0.03,0.081,0.228,4.033,2.367,6.367,0.127,0.633,-0.6,0.033,1.4,0.0,0,0,0,0,0,0,0,0,all-star
58,Nickeil Alexander-Walker,6,0,1,0,0,0,52.667,11.667,19.033,3.4,8.733,0.386,1.433,4.267,0.335,1.967,4.433,0.436,0.469,0.9,1.3,0.715,0.367,2.233,2.6,2.167,0.7,0.367,1.333,1.567,9.1,10.633,0.49,0.492,0.148,0.019,0.13,0.075,0.173,0.017,0.016,0.133,0.235,-0.7,0.833,0.2,0.006,-2.133,-0.8,-2.933,-0.167,0.0,0,0,0,0,0,0,0,0,bench
